Month,Computer Bar,Study Carrels,Study Tables,Study Rooms,Reading Room,Makerspace,Terrace
January,21.0,145.0,223.0,73.0,26.0,9.0,0.0
February,31.0,152.0,281.0,126.0,13.0,4.0,0.0
March,37.0,221.0,380.0,92.0,23.0,6.0,0.0
April,16.0,59.0,163.0,61.0,6.0,5.0,0.0
May,14.0,28.0,138.0,14.0,0.0,12.0,51.0
June,11.0,57.0,199.0,13.0,0.0,0.0,1.0
July,4.0,35.0,181.0,46.0,0.0,4.0,7.0
August,5.0,14.0,80.0,36.0,0.0,2.0,4.0
September,42.0,244.0,405.0,89.0,50.0,2.0,44.0
October,61.0,315.0,526.0,283.0,44.0,5.0,27.0
November,81.0,276.0,542.0,269.0,40.0,33.0,3.0
December,6.0,11.0,34.0,8.0,0.0,0.0,0.0
